id,name,set,lang,condition,is_foil,format,quantity,price_clp,image_url,status,price_usd_ref
17,Armadura de sierpescoria,mrd,es,NM,no,Modern,1,,Armadura de sierpescoria - MRD - es - NM - 1 (3).jpg,available,
18,Armadura de sierpescoria,mrd,es,NM,no,Modern,1,,Armadura de sierpescoria - MRD - es - NM - 1 (4).jpg,available,
19,Armadura de sierpescoria,mrd,es,NM,no,Modern,1,,Armadura de sierpescoria - MRD - es - NM - 1 (5).jpg,available,
20,Armadura de sierpescoria,mrd,es,NM,no,Modern,1,,Armadura de sierpescoria - MRD - es - NM - 1.jpg,available,
21,Barrow-Blade,ltr,en,NM,no,Modern,1,500,Barrow-Blade - LTR - en - NM - 1.jpg,available,0.11
22,Bomat Courier,kld,en,NM,no,Modern,1,500,Bomat Courier - KLD - en - NM - 1 (2).jpg,available,0.12
23,Bomat Courier,kld,en,NM,no,Modern,1,500,Bomat Courier - KLD - en - NM - 1.jpg,available,0.12
24,Bomat Courier,kld,en,NM,yes,Modern,1,938,Bomat Courier - KLD - en - NM_FOIL - 1 (2).jpg,available,1.25
25,Bomat Courier,kld,en,NM,yes,Modern,1,938,Bomat Courier - KLD - en - NM_FOIL - 1.jpg,available,1.25
26,Bomba trinquete,m14,es,NM,no,Modern,1,,Bomba trinquete - M14 - es - NM - 1.jpg,available,
27,Bombahechizo chispa de vida,mrd,es,NM,no,Modern,1,,Bombahechizo chispa de vida - MRD - es - NM - 1 (2).jpg,available,
28,Bombahechizo chispa de vida,mrd,es,NM,no,Modern,1,,Bombahechizo chispa de vida - MRD - es - NM - 1.jpg,available,
29,Bombahechizo de pirita,mrd,es,NM,no,Modern,1,,Bombahechizo de pirita - MRD - es - NM - 1 (2).jpg,available,
30,Bombahechizo de pirita,mrd,es,NM,no,Modern,1,,Bombahechizo de pirita - MRD - es - NM - 1 (3).jpg,available,
31,Bombahechizo de pirita,mrd,es,NM,no,Modern,1,,Bombahechizo de pirita - MRD - es - NM - 1 (4).jpg,available,
32,Bombahechizo de pirita,mrd,es,NM,no,Modern,1,,Bombahechizo de pirita - MRD - es - NM - 1 (5).jpg,available,
33,Bombahechizo de pirita,mrd,es,NM,no,Modern,1,,Bombahechizo de pirita - MRD - es - NM - 1 (6).jpg,available,
34,Bombahechizo de pirita,mrd,es,NM,no,Modern,1,,Bombahechizo de pirita - MRD - es - NM - 1 (7).jpg,available,
35,Bombahechizo de pirita,mrd,es,NM,no,Modern,1,,Bombahechizo de pirita - MRD - es - NM - 1.jpg,available,
36,Bombahechizo de rayo solar,mrd,es,NM,no,Modern,1,,Bombahechizo de rayo solar - MRD - es - NM - 1 (2).jpg,available,
37,Bombahechizo de rayo solar,mrd,es,NM,no,Modern,1,,Bombahechizo de rayo solar - MRD - es - NM - 1 (3).jpg,available,
38,Bombahechizo de rayo solar,mrd,es,NM,no,Modern,1,,Bombahechizo de rayo solar - MRD - es - NM - 1.jpg,available,
39,Bombahechizo de éter,j22,es,NM,no,Modern,1,,Bombahechizo de éter - J22 - es - NM - 1 (2).jpg,available,
40,Bombahechizo de éter,j22,es,NM,no,Modern,1,,Bombahechizo de éter - J22 - es - NM - 1 (3).jpg,available,
41,Bombahechizo de éter,j22,es,NM,no,Modern,1,,Bombahechizo de éter - J22 - es - NM - 1 (4).jpg,available,
42,Bombahechizo de éter,j22,es,NM,no,Modern,1,,Bombahechizo de éter - J22 - es - NM - 1 (5).jpg,available,
43,Bombahechizo de éter,j22,es,NM,no,Modern,1,,Bombahechizo de éter - J22 - es - NM - 1 (6).jpg,available,
44,Bombahechizo de éter,j22,es,NM,no,Modern,1,,Bombahechizo de éter - J22 - es - NM - 1 (7).jpg,available,
45,Bombahechizo de éter,j22,es,NM,no,Modern,1,,Bombahechizo de éter - J22 - es - NM - 1 (8).jpg,available,
46,Bombahechizo de éter,j22,es,NM,no,Modern,1,,Bombahechizo de éter - J22 - es - NM - 1 (9).jpg,available,
47,Bombahechizo de éter,j22,es,NM,no,Modern,1,,Bombahechizo de éter - J22 - es - NM - 1.jpg,available,
48,Bombahechizo necrógena,mrd,es,NM,no,Modern,1,,Bombahechizo necrógena - MRD - es - NM - 1 (2).jpg,available,
49,Bombahechizo necrógena,mrd,es,NM,no,Modern,1,,Bombahechizo necrógena - MRD - es - NM - 1 (3).jpg,available,
50,Bombahechizo necrógena,mrd,es,NM,no,Modern,1,,Bombahechizo necrógena - MRD - es - NM - 1 (4).jpg,available,
51,Bombahechizo necrógena,mrd,es,NM,no,Modern,1,,Bombahechizo necrógena - MRD - es - NM - 1 (5).jpg,available,
52,Bombahechizo necrógena,mrd,es,NM,no,Modern,1,,Bombahechizo necrógena - MRD - es - NM - 1 (6).jpg,available,
53,Bombahechizo necrógena,mrd,es,NM,no,Modern,1,,Bombahechizo necrógena - MRD - es - NM - 1.jpg,available,
54,Bombahechizo nihil,brc,es,NM,no,Modern,1,,Bombahechizo nihil - BRC - es - NM - 1.jpg,available,
55,Bonesplitter,cmr,en,NM,no,Modern,1,500,Bonesplitter - CMR - en - NM - 1.jpg,available,0.21
56,Chalice of the Void,a25,en,NM,no,Modern,1,10672,Chalice of the Void - A25 - en - NM - 1 (2).jpg,available,14.23
57,Chalice of the Void,a25,en,NM,no,Modern,1,10672,Chalice of the Void - A25 - en - NM - 1.jpg,available,14.23
58,Chromatic Sphere,jmp,en,NM,no,Modern,1,500,Chromatic Sphere - JMP - en - NM_FOIL - 1.jpg,available,0.28
59,Chromatic Star,tsr,en,NM,no,Modern,1,500,Chromatic Star - TSR - en - NM - 1 (2).jpg,available,0.25
60,Chromatic Star,tsr,en,NM,no,Modern,1,500,Chromatic Star - TSR - en - NM - 1 (3).jpg,available,0.25
61,Chromatic Star,tsr,en,NM,no,Modern,1,500,Chromatic Star - TSR - en - NM - 1.jpg,available,0.25
62,Cimitarra leonina,j25,es,NM,no,Modern,1,,Cimitarra leonina - J25 - es - NM - 1 (2).jpg,available,
63,Cimitarra leonina,j25,es,NM,no,Modern,1,,Cimitarra leonina - J25 - es - NM - 1 (3).jpg,available,
64,Cimitarra leonina,j25,es,NM,no,Modern,1,,Cimitarra leonina - J25 - es - NM - 1.jpg,available,
65,Clay Revenant,bro,en,NM,no,Modern,1,500,Clay Revenant - BRO - en - NM - 1.jpg,available,0.07
66,Clockwork Beetle,mrd,en,NM,no,Modern,1,500,Clockwork Beetle - MRD - en - NM - 1.jpg,available,0.12
67,Coastal Bulwark,bro,en,NM,no,Modern,1,500,Coastal Bulwark - BRO - en - NM - 1.jpg,available,0.07
68,Collector's Vault,woe,en,NM,no,Modern,1,615,Collector's Vault - WOE - en - NM - 1.jpg,available,0.82
69,Compass Gnome,lci,en,NM,no,Modern,1,500,Compass Gnome - LCI - en - NM - 1.jpg,available,0.04
70,Conducto de poder,ncc,es,NM,no,Modern,1,,Conducto de poder - NCC - es - NM - 1.jpg,available,
71,Cryptex,mkm,en,NM,no,Modern,1,500,Cryptex - MKM - en - NM - 1.jpg,available,0.06
72,Cuernos de combate vórrac,mrd,es,NM,no,Modern,1,,Cuernos de combate vórrac - MRD - es - NM - 1 (2).jpg,available,
73,Cuernos de combate vórrac,mrd,es,NM,no,Modern,1,,Cuernos de combate vórrac - MRD - es - NM - 1 (3).jpg,available,
74,Cuernos de combate vórrac,mrd,es,NM,no,Modern,1,,Cuernos de combate vórrac - MRD - es - NM - 1.jpg,available,
75,Cursed Totem,mh2,en,NM,yes,Modern,1,4440,Cursed Totem - MH2 - en - NM_FOIL - 1 (2).jpg,available,5.92
76,Cursed Totem,mh2,en,NM,yes,Modern,1,4440,Cursed Totem - MH2 - en - NM_FOIL - 1.jpg,available,5.92
77,Cáliz del vacío,lcc,es,NM,no,Modern,1,,Cáliz del vacío - LCC - es - NM - 1.jpg,available,
78,Damping Sphere,dmr,en,NM,no,Modern,1,500,Damping Sphere - DMR - en - NM - 1 (2).jpg,available,0.46
79,Damping Sphere,dmr,en,NM,no,Modern,1,500,Damping Sphere - DMR - en - NM - 1 (3).jpg,available,0.46
80,Damping Sphere,dmr,en,NM,no,Modern,1,500,Damping Sphere - DMR - en - NM - 1.jpg,available,0.46
81,Diamante marmóleo,clb,es,NM,yes,Commander,1,,Diamante marmóleo - CLB - es - NM_FOIL - 1.jpg,available,
82,Disruptor Flute,mh3,en,NM,no,Modern,1,1118,Disruptor Flute - MH3 - en - NM - 1 (2).jpg,available,1.49
83,Disruptor Flute,mh3,en,NM,no,Modern,1,1118,Disruptor Flute - MH3 - en - NM - 1.jpg,available,1.49
84,Elixir of Immortality,c21,en,NM,no,Modern,1,500,Elixir of Immortality - C21 - en - NM - 1.jpg,available,0.66
85,Empyrial Plate,c16,en,NM,no,Modern,1,758,Empyrial Plate - C16 - en - NM - 1.jpg,available,1.01
86,Engineered Explosives,2xm,en,NM,no,Modern,1,2092,Engineered Explosives - 2XM - en - NM - 1 (2).jpg,available,2.79
87,Engineered Explosives,2xm,en,NM,no,Modern,1,2092,Engineered Explosives - 2XM - en - NM - 1 (3).jpg,available,2.79
88,Engineered Explosives,2xm,en,NM,no,Modern,1,2092,Engineered Explosives - 2XM - en - NM - 1.jpg,available,2.79
89,Engineered Explosives,2xm,en,NM,yes,Modern,1,2302,Engineered Explosives - 2XM - en - NM_FOIL - 1.jpg,available,3.07
90,Escarabajo mecánico,mrd,es,NM,no,Modern,1,,Escarabajo mecánico - MRD - es - NM - 1 (2).jpg,available,
91,Escarabajo mecánico,mrd,es,NM,no,Modern,1,,Escarabajo mecánico - MRD - es - NM - 1 (3).jpg,available,
92,Escarabajo mecánico,mrd,es,NM,no,Modern,1,,Escarabajo mecánico - MRD - es - NM - 1 (4).jpg,available,
93,Escarabajo mecánico,mrd,es,NM,no,Modern,1,,Escarabajo mecánico - MRD - es - NM - 1 (5).jpg,available,
94,Escarabajo mecánico,mrd,es,NM,no,Modern,1,,Escarabajo mecánico - MRD - es - NM - 1 (6).jpg,available,
95,Escarabajo mecánico,mrd,es,NM,no,Modern,1,,Escarabajo mecánico - MRD - es - NM - 1 (7).jpg,available,
96,Escarabajo mecánico,mrd,es,NM,no,Modern,1,,Escarabajo mecánico - MRD - es - NM - 1.jpg,available,
97,Esfera cromática,mrd,es,NM,no,Modern,1,,Esfera cromática - MRD - es - NM - 1 (2).jpg,available,
98,Esfera cromática,mrd,es,NM,no,Modern,1,,Esfera cromática - MRD - es - NM - 1 (3).jpg,available,
99,Esfera cromática,mrd,es,NM,no,Modern,1,,Esfera cromática - MRD - es - NM - 1.jpg,available,
100,Esfera de madera,8ed,es,NM,no,Modern,1,,Esfera de madera - 8ED - es - NM - 1.jpg,available,
101,Fruto de la Maraña,9ed,es,NM,no,Modern,1,,Fruto de la Maraña - 9ED - es - NM - 1 (2).jpg,available,
102,Fruto de la Maraña,9ed,es,NM,no,Modern,1,,Fruto de la Maraña - 9ED - es - NM - 1 (3).jpg,available,
103,Fruto de la Maraña,9ed,es,NM,no,Modern,1,,Fruto de la Maraña - 9ED - es - NM - 1 (4).jpg,available,
104,Fruto de la Maraña,9ed,es,NM,no,Modern,1,,Fruto de la Maraña - 9ED - es - NM - 1 (5).jpg,available,
105,Fruto de la Maraña,9ed,es,NM,no,Modern,1,,Fruto de la Maraña - 9ED - es - NM - 1.jpg,available,
106,Fundición thran,uds,es,NM,no,Commander,1,,Fundición thran - UDS - es - NM - 1 (2).jpg,available,
107,Fundición thran,uds,es,NM,no,Commander,1,,Fundición thran - UDS - es - NM - 1.jpg,available,
108,Galvanic Key,mrd,en,NM,no,Modern,1,500,Galvanic Key - MRD - en - NM - 1.jpg,available,0.13
109,Garras escarbadoras,rna,es,NM,no,Modern,1,,Garras escarbadoras - RNA - es - NM - 1 (2).jpg,available,
110,Garras escarbadoras,rna,es,NM,no,Modern,1,,Garras escarbadoras - RNA - es - NM - 1 (3).jpg,available,
111,Garras escarbadoras,rna,es,NM,no,Modern,1,,Garras escarbadoras - RNA - es - NM - 1.jpg,available,
112,Grebas relámpago,sld,es,NM,no,Modern,1,,Grebas relámpago - SLD - es - NM - 1.jpg,available,
113,Guantes de piel de gólem,mrd,es,NM,no,Modern,1,,Guantes de piel de gólem - MRD - es - NM - 1 (2).jpg,available,
114,Guantes de piel de gólem,mrd,es,NM,no,Modern,1,,Guantes de piel de gólem - MRD - es - NM - 1 (3).jpg,available,
115,Guantes de piel de gólem,mrd,es,NM,no,Modern,1,,Guantes de piel de gólem - MRD - es - NM - 1 (4).jpg,available,
116,Guantes de piel de gólem,mrd,es,NM,no,Modern,1,,Guantes de piel de gólem - MRD - es - NM - 1.jpg,available,
117,Guantes vúlshok,mrd,es,NM,no,Modern,1,,Guantes vúlshok - MRD - es - NM - 1 (2).jpg,available,
118,Guantes vúlshok,mrd,es,NM,no,Modern,1,,Guantes vúlshok - MRD - es - NM - 1 (3).jpg,available,
119,Guantes vúlshok,mrd,es,NM,no,Modern,1,,Guantes vúlshok - MRD - es - NM - 1 (4).jpg,available,
120,Guantes vúlshok,mrd,es,NM,no,Modern,1,,Guantes vúlshok - MRD - es - NM - 1 (5).jpg,available,
121,Guantes vúlshok,mrd,es,NM,no,Modern,1,,Guantes vúlshok - MRD - es - NM - 1.jpg,available,
122,Hunter's Blowgun,lci,en,NM,no,Modern,1,500,Hunter's Blowgun - LCI - en - NM - 1.jpg,available,0.09
123,Iron Lance,mmq,en,NM,no,Commander,1,500,Iron Lance - MMQ - en - NM - 1.jpg,available,0.20
124,Iron Myr,som,en,NM,no,Modern,1,518,Iron Myr - SOM - en - NM - 1 (2).jpg,available,0.69
125,Iron Myr,som,en,NM,no,Modern,1,518,Iron Myr - SOM - en - NM - 1.jpg,available,0.69
126,It That Heralds the End,mh3,en,NM,no,Modern,1,500,It That Heralds the End - MH3 - en - NM - 1.jpg,available,0.30
127,Jarra de soldadura,mrd,es,NM,no,Modern,1,,Jarra de soldadura - MRD - es - NM - 1 (2).jpg,available,
128,Jarra de soldadura,mrd,es,NM,no,Modern,1,,Jarra de soldadura - MRD - es - NM - 1 (3).jpg,available,
129,Jarra de soldadura,mrd,es,NM,no,Modern,1,,Jarra de soldadura - MRD - es - NM - 1 (4).jpg,available,
130,Jarra de soldadura,mrd,es,NM,no,Modern,1,,Jarra de soldadura - MRD - es - NM - 1 (5).jpg,available,
131,Jarra de soldadura,mrd,es,NM,no,Modern,1,,Jarra de soldadura - MRD - es - NM - 1 (6).jpg,available,
132,Jarra de soldadura,mrd,es,NM,no,Modern,1,,Jarra de soldadura - MRD - es - NM - 1.jpg,available,
133,Lantern of the Lost,vow,en,NM,no,Modern,1,500,Lantern of the Lost - VOW - en - NM - 1 (2).jpg,available,0.10
134,Lantern of the Lost,vow,en,NM,no,Modern,1,500,Lantern of the Lost - VOW - en - NM - 1.jpg,available,0.10
135,Leaden Myr,som,en,NM,no,Modern,1,500,Leaden Myr - SOM - en - NM - 1.jpg,available,0.66
136,Leaden Myr,som,en,NM,yes,Modern,1,9270,Leaden Myr - SOM - en - NM_FOIL - 1.jpg,available,12.36
137,Libro de cocina del infierno,mh2,es,NM,no,Modern,1,,Libro de cocina del infierno - MH2 - es - NM - 1 (2).jpg,available,
138,Libro de cocina del infierno,mh2,es,NM,no,Modern,1,,Libro de cocina del infierno - MH2 - es - NM - 1.jpg,available,
139,Lifespark Spellbomb,mrd,en,NM,no,Modern,1,500,Lifespark Spellbomb - MRD - en - NM - 1.jpg,available,0.12
140,Llave galvánica,mrd,es,NM,no,Modern,1,,Llave galvánica - MRD - es - NM - 1 (2).jpg,available,
141,Llave galvánica,mrd,es,NM,no,Modern,1,,Llave galvánica - MRD - es - NM - 1 (3).jpg,available,
142,Llave galvánica,mrd,es,NM,no,Modern,1,,Llave galvánica - MRD - es - NM - 1.jpg,available,
143,Maza de hierro muerto,mrd,es,NM,no,Modern,1,,Maza de hierro muerto - MRD - es - NM - 1 (2).jpg,available,
144,Maza de hierro muerto,mrd,es,NM,no,Modern,1,,Maza de hierro muerto - MRD - es - NM - 1.jpg,available,
145,Mazemind Tome,fdn,en,NM,no,Modern,1,500,Mazemind Tome - FDN - en - NM_FOIL - 1.jpg,available,0.24
146,Mestizo chatarreño,bro,es,NM,no,Modern,1,,Mestizo chatarreño - BRO - es - NM - 1.jpg,available,
147,Mishra's Bauble,2xm,en,NM,no,Modern,1,1365,Mishra's Bauble - 2XM - en - NM - 1 (2).jpg,available,1.82
148,Mishra's Bauble,2xm,en,NM,no,Modern,1,1365,Mishra's Bauble - 2XM - en - NM - 1 (3).jpg,available,1.82
149,Mishra's Bauble,2xm,en,NM,no,Modern,1,1365,Mishra's Bauble - 2XM - en - NM - 1 (4).jpg,available,1.82
150,Mishra's Bauble,2xm,en,NM,no,Modern,1,1365,Mishra's Bauble - 2XM - en - NM - 1.jpg,available,1.82
151,Moss Diamond,clb,en,NM,no,Commander,1,690,Moss Diamond - CLB - en - NM - 1.jpg,available,0.92
152,Moto aérea de alta velocidad,neo,es,NM,no,Modern,1,,Moto aérea de alta velocidad - NEO - es - NM - 1.jpg,available,
153,Muro de acero,ddf,es,NM,no,Modern,1,,Muro de acero - DDF - es - NM - 1 (2).jpg,available,
154,Muro de acero,ddf,es,NM,no,Modern,1,,Muro de acero - DDF - es - NM - 1 (3).jpg,available,
155,Muro de acero,ddf,es,NM,no,Modern,1,,Muro de acero - DDF - es - NM - 1 (4).jpg,available,
156,Muro de acero,ddf,es,NM,no,Modern,1,,Muro de acero - DDF - es - NM - 1 (5).jpg,available,
157,Muro de acero,ddf,es,NM,no,Modern,1,,Muro de acero - DDF - es - NM - 1 (6).jpg,available,
158,Muro de acero,ddf,es,NM,no,Modern,1,,Muro de acero - DDF - es - NM - 1 (7).jpg,available,
159,Muro de acero,ddf,es,NM,no,Modern,1,,Muro de acero - DDF - es - NM - 1.jpg,available,
160,Myr alfa,ps11,es,NM,no,Modern,1,,Myr alfa - PS11 - es - NM - 1 (2).jpg,available,
161,Myr alfa,ps11,es,NM,no,Modern,1,,Myr alfa - PS11 - es - NM - 1 (3).jpg,available,
162,Myr alfa,ps11,es,NM,no,Modern,1,,Myr alfa - PS11 - es - NM - 1 (4).jpg,available,
163,Myr alfa,ps11,es,NM,no,Modern,1,,Myr alfa - PS11 - es - NM - 1 (5).jpg,available,
164,Myr alfa,ps11,es,NM,no,Modern,1,,Myr alfa - PS11 - es - NM - 1 (6).jpg,available,
165,Myr alfa,ps11,es,NM,no,Modern,1,,Myr alfa - PS11 - es - NM - 1 (7).jpg,available,
166,Myr alfa,ps11,es,NM,no,Modern,1,,Myr alfa - PS11 - es - NM - 1.jpg,available,
167,Myr de cobre,som,es,NM,no,Modern,1,,Myr de cobre - SOM - es - NM - 1 (2).jpg,available,
168,Myr de cobre,som,es,NM,no,Modern,1,,Myr de cobre - SOM - es - NM - 1 (3).jpg,available,
169,Myr de cobre,som,es,NM,no,Modern,1,,Myr de cobre - SOM - es - NM - 1.jpg,available,
170,Myr de hierro,som,es,NM,no,Modern,1,,Myr de hierro - SOM - es - NM - 1 (2).jpg,available,
171,Myr de hierro,som,es,NM,no,Modern,1,,Myr de hierro - SOM - es - NM - 1 (3).jpg,available,
172,Myr de hierro,som,es,NM,no,Modern,1,,Myr de hierro - SOM - es - NM - 1 (4).jpg,available,
173,Myr de hierro,som,es,NM,no,Modern,1,,Myr de hierro - SOM - es - NM - 1 (5).jpg,available,
174,Myr de hierro,som,es,NM,no,Modern,1,,Myr de hierro - SOM - es - NM - 1.jpg,available,
175,Myr de oro,nec,es,NM,no,Modern,1,,Myr de oro - NEC - es - NM - 1 (2).jpg,available,
176,Myr de oro,nec,es,NM,no,Modern,1,,Myr de oro - NEC - es - NM - 1 (3).jpg,available,
177,Myr de oro,nec,es,NM,no,Modern,1,,Myr de oro - NEC - es - NM - 1 (4).jpg,available,
178,Myr de oro,nec,es,NM,no,Modern,1,,Myr de oro - NEC - es - NM - 1.jpg,available,
179,Myr de plomo,som,es,NM,no,Modern,1,,Myr de plomo - SOM - es - NM - 1 (2).jpg,available,
180,Myr de plomo,som,es,NM,no,Modern,1,,Myr de plomo - SOM - es - NM - 1 (3).jpg,available,
181,Myr de plomo,som,es,NM,no,Modern,1,,Myr de plomo - SOM - es - NM - 1 (4).jpg,available,
182,Myr de plomo,som,es,NM,no,Modern,1,,Myr de plomo - SOM - es - NM - 1 (5).jpg,available,
183,Myr de plomo,som,es,NM,no,Modern,1,,Myr de plomo - SOM - es - NM - 1 (6).jpg,available,
184,Myr de plomo,som,es,NM,no,Modern,1,,Myr de plomo - SOM - es - NM - 1 (7).jpg,available,
185,Myr de plomo,som,es,NM,no,Modern,1,,Myr de plomo - SOM - es - NM - 1.jpg,available,
186,Myr omega,mrd,es,NM,no,Modern,1,,Myr omega - MRD - es - NM - 1 (2).jpg,available,
187,Myr omega,mrd,es,NM,no,Modern,1,,Myr omega - MRD - es - NM - 1.jpg,available,
188,Myr omega,mrd,es,NM,yes,Modern,1,,Myr omega - MRD - es - NM_FOIL - 1.jpg,available,
189,Necrogen Spellbomb,mrd,en,NM,no,Modern,1,500,Necrogen Spellbomb - MRD - en - NM - 1.jpg,available,0.17
190,Neurok Hoversail,mrd,en,NM,no,Modern,1,500,Neurok Hoversail - MRD - en - NM - 1 (2).jpg,available,0.13
191,Neurok Hoversail,mrd,en,NM,no,Modern,1,500,Neurok Hoversail - MRD - en - NM - 1.jpg,available,0.13
192,Nihil Spellbomb,a25,en,NM,no,Modern,1,1050,Nihil Spellbomb - A25 - en - NM - 1 (2).jpg,available,1.40
193,Nihil Spellbomb,a25,en,NM,no,Modern,1,1050,Nihil Spellbomb - A25 - en - NM - 1.jpg,available,1.40
194,Omega Myr,mrd,en,NM,no,Modern,1,500,Omega Myr - MRD - en - NM - 1.jpg,available,0.17
195,Ornitóptero,dmr,es,NM,no,Modern,1,,Ornitóptero - DMR - es - NM - 1 (2).jpg,available,
196,Ornitóptero,dmr,es,NM,no,Modern,1,,Ornitóptero - DMR - es - NM - 1 (3).jpg,available,
197,Ornitóptero,dmr,es,NM,no,Modern,1,,Ornitóptero - DMR - es - NM - 1 (4).jpg,available,
198,Ornitóptero,dmr,es,NM,no,Modern,1,,Ornitóptero - DMR - es - NM - 1 (5).jpg,available,
199,Ornitóptero,dmr,es,NM,no,Modern,1,,Ornitóptero - DMR - es - NM - 1 (6).jpg,available,
200,Ornitóptero,dmr,es,NM,no,Modern,1,,Ornitóptero - DMR - es - NM - 1.jpg,available,
201,Parásito desguazador,kld,es,NM,yes,Modern,1,,Parásito desguazador - KLD - es - NM_FOIL - 1 (2).jpg,available,
202,Parásito desguazador,kld,es,NM,yes,Modern,1,,Parásito desguazador - KLD - es - NM_FOIL - 1 (3).jpg,available,
203,Parásito desguazador,kld,es,NM,yes,Modern,1,,Parásito desguazador - KLD - es - NM_FOIL - 1.jpg,available,
204,Pearl Medallion,mh3,en,NM,yes,Modern,1,3060,Pearl Medallion - MH3 - en - NM_FOIL - 1.jpg,available,4.08
205,Pithing Needle,2x2,en,NM,no,Modern,1,500,Pithing Needle - 2X2 - en - NM - 1 (2).jpg,available,0.57
206,Pithing Needle,2x2,en,NM,no,Modern,1,500,Pithing Needle - 2X2 - en - NM - 1 (3).jpg,available,0.57
207,Pithing Needle,2x2,en,NM,no,Modern,1,500,Pithing Needle - 2X2 - en - NM - 1.jpg,available,0.57
208,Pluma de Tel-Jilad,mrd,es,NM,no,Modern,1,,Pluma de Tel-Jilad - MRD - es - NM - 1 (2).jpg,available,
209,Pluma de Tel-Jilad,mrd,es,NM,no,Modern,1,,Pluma de Tel-Jilad - MRD - es - NM - 1.jpg,available,
210,Pluma de Tel-Jilad,mrd,es,NM,yes,Modern,1,,Pluma de Tel-Jilad - MRD - es - NM_FOIL - 1.jpg,available,
211,Pulgar de Krark,mrd,es,NM,no,Modern,1,,Pulgar de Krark - MRD - es - NM - 1.jpg,available,
212,Pyrite Spellbomb,2xm,en,NM,no,Modern,1,500,Pyrite Spellbomb - 2XM - en - NM - 1.jpg,available,0.12
213,Quebrantahuesos,cmr,es,NM,no,Modern,1,,Quebrantahuesos - CMR - es - NM - 1 (2).jpg,available,
214,Quebrantahuesos,cmr,es,NM,no,Modern,1,,Quebrantahuesos - CMR - es - NM - 1 (3).jpg,available,
215,Quebrantahuesos,cmr,es,NM,no,Modern,1,,Quebrantahuesos - CMR - es - NM - 1 (4).jpg,available,
216,Quebrantahuesos,cmr,es,NM,no,Modern,1,,Quebrantahuesos - CMR - es - NM - 1.jpg,available,
217,Ratchet Bomb,2xm,en,NM,no,Modern,1,668,Ratchet Bomb - 2XM - en - NM - 1.jpg,available,0.89
218,Recuperador myr,c16,es,NM,no,Modern,1,,Recuperador myr - C16 - es - NM - 1.jpg,available,
219,Relic of Progenitus,ema,en,NM,no,Modern,1,3480,Relic of Progenitus - EMA - en - NM - 1 (2).jpg,available,4.64
220,Relic of Progenitus,ema,en,NM,no,Modern,1,3480,Relic of Progenitus - EMA - en - NM - 1.jpg,available,4.64
221,Reliquia de Progenitus,brc,es,NM,no,Modern,1,,Reliquia de Progenitus - BRC - es - NM - 1.jpg,available,
222,Santuario del sínodo,mrd,es,NM,no,Modern,1,,Santuario del sínodo - MRD - es - NM - 1 (2).jpg,available,
223,Santuario del sínodo,mrd,es,NM,no,Modern,1,,Santuario del sínodo - MRD - es - NM - 1 (3).jpg,available,
224,Santuario del sínodo,mrd,es,NM,no,Modern,1,,Santuario del sínodo - MRD - es - NM - 1.jpg,available,
225,Scrapheap Scrounger,kld,en,NM,no,Modern,1,500,Scrapheap Scrounger - KLD - en - NM - 1 (2).jpg,available,0.19
226,Scrapheap Scrounger,kld,en,NM,no,Modern,1,500,Scrapheap Scrounger - KLD - en - NM - 1 (3).jpg,available,0.19
