id,name,set,lang,condition,is_foil,format,quantity,price_clp,image_url,status,price_usd_ref,price_source
100,Esfera de madera,8ED,es,NM,false,Modern,1,500,Esfera de madera - 8ED - es - NM - 1.jpg,available,0.15,tcgplayer
339,Fruto de la Maraña,9ED,es,NM,false,Modern,1,500,Fruto de la Maraña - 9ED - es - NM - 1 (2).jpg,available,0.11,tcgplayer
340,Fruto de la Maraña,9ED,es,NM,false,Modern,1,500,Fruto de la Maraña - 9ED - es - NM - 1 (3).jpg,available,0.11,tcgplayer
341,Fruto de la Maraña,9ED,es,NM,false,Modern,1,500,Fruto de la Maraña - 9ED - es - NM - 1 (4).jpg,available,0.11,tcgplayer
342,Fruto de la Maraña,9ED,es,NM,false,Modern,1,500,Fruto de la Maraña - 9ED - es - NM - 1 (5).jpg,available,0.11,tcgplayer
105,Fruto de la Maraña,9ED,es,NM,false,Modern,1,500,Fruto de la Maraña - 9ED - es - NM - 1.jpg,available,0.11,tcgplayer
343,Fundición thran,UDS,es,NM,false,Legacy,1,500,Fundición thran - UDS - es - NM - 1 (2).jpg,available,0.35,cardkingdom
107,Fundición thran,UDS,es,NM,false,Legacy,1,500,Fundición thran - UDS - es - NM - 1.jpg,available,0.35,cardkingdom
108,Galvanic Key,MRD,en,NM,false,Modern,1,500,Galvanic Key - MRD - en - NM - 1.jpg,available,0.35,cardkingdom
344,Garras escarbadoras,RNA,es,NM,false,Modern,1,500,Garras escarbadoras - RNA - es - NM - 1 (2).jpg,available,0.35,cardkingdom
345,Garras escarbadoras,RNA,es,NM,false,Modern,1,500,Garras escarbadoras - RNA - es - NM - 1 (3).jpg,available,0.35,cardkingdom
111,Garras escarbadoras,RNA,es,NM,false,Modern,1,500,Garras escarbadoras - RNA - es - NM - 1.jpg,available,0.35,cardkingdom
112,Grebas relámpago,SLD,es,NM,false,Modern,1,7590,Grebas relámpago - SLD - es - NM - 1.jpg,available,7.99,cardkingdom
346,Guantes de piel de gólem,MRD,es,NM,false,Modern,1,500,Guantes de piel de gólem - MRD - es - NM - 1 (2).jpg,available,0.39,cardkingdom
347,Guantes de piel de gólem,MRD,es,NM,false,Modern,1,500,Guantes de piel de gólem - MRD - es - NM - 1 (3).jpg,available,0.39,cardkingdom
348,Guantes de piel de gólem,MRD,es,NM,false,Modern,1,500,Guantes de piel de gólem - MRD - es - NM - 1 (4).jpg,available,0.39,cardkingdom
116,Guantes de piel de gólem,MRD,es,NM,false,Modern,1,500,Guantes de piel de gólem - MRD - es - NM - 1.jpg,available,0.39,cardkingdom
349,Guantes vúlshok,MRD,es,NM,false,Modern,1,500,Guantes vúlshok - MRD - es - NM - 1 (2).jpg,available,0.35,cardkingdom
350,Guantes vúlshok,MRD,es,NM,false,Modern,1,500,Guantes vúlshok - MRD - es - NM - 1 (3).jpg,available,0.35,cardkingdom
351,Guantes vúlshok,MRD,es,NM,false,Modern,1,500,Guantes vúlshok - MRD - es - NM - 1 (4).jpg,available,0.35,cardkingdom
352,Guantes vúlshok,MRD,es,NM,false,Modern,1,500,Guantes vúlshok - MRD - es - NM - 1 (5).jpg,available,0.35,cardkingdom
121,Guantes vúlshok,MRD,es,NM,false,Modern,1,500,Guantes vúlshok - MRD - es - NM - 1.jpg,available,0.35,cardkingdom
122,Hunter's Blowgun,LCI,en,NM,false,Modern,1,500,Hunter's Blowgun - LCI - en - NM - 1.jpg,available,0.35,cardkingdom
123,Iron Lance,MMQ,en,NM,false,Legacy,1,500,Iron Lance - MMQ - en - NM - 1.jpg,available,0.35,cardkingdom
353,Iron Myr,SOM,en,NM,false,Modern,1,9490,Iron Myr - SOM - en - NM - 1 (2).jpg,available,9.99,cardkingdom
125,Iron Myr,SOM,en,NM,false,Modern,1,9490,Iron Myr - SOM - en - NM - 1.jpg,available,9.99,cardkingdom
126,It That Heralds the End,MH3,en,NM,false,Modern,1,560,It That Heralds the End - MH3 - en - NM - 1.jpg,available,0.59,cardkingdom
354,Jarra de soldadura,MRD,es,NM,false,Modern,1,1226,Jarra de soldadura - MRD - es - NM - 1 (2).jpg,available,1.29,cardkingdom
355,Jarra de soldadura,MRD,es,NM,false,Modern,1,1226,Jarra de soldadura - MRD - es - NM - 1 (3).jpg,available,1.29,cardkingdom
356,Jarra de soldadura,MRD,es,NM,false,Modern,1,1226,Jarra de soldadura - MRD - es - NM - 1 (4).jpg,available,1.29,cardkingdom
357,Jarra de soldadura,MRD,es,NM,false,Modern,1,1226,Jarra de soldadura - MRD - es - NM - 1 (5).jpg,available,1.29,cardkingdom
358,Jarra de soldadura,MRD,es,NM,false,Modern,1,1226,Jarra de soldadura - MRD - es - NM - 1 (6).jpg,available,1.29,cardkingdom
132,Jarra de soldadura,MRD,es,NM,false,Modern,1,1226,Jarra de soldadura - MRD - es - NM - 1.jpg,available,1.29,cardkingdom
359,Lantern of the Lost,VOW,en,NM,false,Modern,1,500,Lantern of the Lost - VOW - en - NM - 1 (2).jpg,available,0.35,cardkingdom
134,Lantern of the Lost,VOW,en,NM,false,Modern,1,500,Lantern of the Lost - VOW - en - NM - 1.jpg,available,0.35,cardkingdom
135,Leaden Myr,SOM,en,NM,false,Modern,1,500,Leaden Myr - SOM - en - NM - 1.jpg,available,0.35,cardkingdom
136,Leaden Myr,SOM,en,NM,true,Modern,1,10440,Leaden Myr - SOM - en - NM_FOIL - 1.jpg,available,10.99,cardkingdom
360,Libro de cocina del infierno,MH2,es,NM,false,Modern,1,560,Libro de cocina del infierno - MH2 - es - NM - 1 (2).jpg,available,0.59,cardkingdom
138,Libro de cocina del infierno,MH2,es,NM,false,Modern,1,560,Libro de cocina del infierno - MH2 - es - NM - 1.jpg,available,0.59,cardkingdom
139,Lifespark Spellbomb,MRD,en,NM,false,Modern,1,940,Lifespark Spellbomb - MRD - en - NM - 1.jpg,available,0.99,cardkingdom
361,Llave galvánica,MRD,es,NM,false,Modern,1,500,Llave galvánica - MRD - es - NM - 1 (2).jpg,available,0.35,cardkingdom
362,Llave galvánica,MRD,es,NM,false,Modern,1,500,Llave galvánica - MRD - es - NM - 1 (3).jpg,available,0.35,cardkingdom
142,Llave galvánica,MRD,es,NM,false,Modern,1,500,Llave galvánica - MRD - es - NM - 1.jpg,available,0.35,cardkingdom
363,Maza de hierro muerto,MRD,es,NM,false,Modern,1,500,Maza de hierro muerto - MRD - es - NM - 1 (2).jpg,available,0.49,cardkingdom
144,Maza de hierro muerto,MRD,es,NM,false,Modern,1,500,Maza de hierro muerto - MRD - es - NM - 1.jpg,available,0.49,cardkingdom
145,Mazemind Tome,FDN,en,NM,false,Modern,1,500,Mazemind Tome - FDN - en - NM_FOIL - 1.jpg,available,0.49,cardkingdom
146,Mestizo chatarreño,BRO,es,NM,false,Modern,1,656,Mestizo chatarreño - BRO - es - NM - 1.jpg,available,0.69,cardkingdom
364,Mishra's Bauble,2XM,en,NM,false,Modern,1,2366,Mishra's Bauble - 2XM - en - NM - 1 (2).jpg,available,2.49,cardkingdom
365,Mishra's Bauble,2XM,en,NM,false,Modern,1,2366,Mishra's Bauble - 2XM - en - NM - 1 (3).jpg,available,2.49,cardkingdom
366,Mishra's Bauble,2XM,en,NM,false,Modern,1,2366,Mishra's Bauble - 2XM - en - NM - 1 (4).jpg,available,2.49,cardkingdom
150,Mishra's Bauble,2XM,en,NM,false,Modern,1,2366,Mishra's Bauble - 2XM - en - NM - 1.jpg,available,2.49,cardkingdom
151,Moss Diamond,CLB,en,NM,false,Legacy,1,500,Moss Diamond - CLB - en - NM - 1.jpg,available,0.35,cardkingdom
152,Moto aérea de alta velocidad,NEO,es,NM,false,Modern,1,500,Moto aérea de alta velocidad - NEO - es - NM - 1.jpg,available,0.35,cardkingdom
367,Muro de acero,DDF,es,NM,false,Modern,1,940,Muro de acero - DDF - es - NM - 1 (2).jpg,available,0.99,cardkingdom
368,Muro de acero,DDF,es,NM,false,Modern,1,940,Muro de acero - DDF - es - NM - 1 (3).jpg,available,0.99,cardkingdom
369,Muro de acero,DDF,es,NM,false,Modern,1,940,Muro de acero - DDF - es - NM - 1 (4).jpg,available,0.99,cardkingdom
370,Muro de acero,DDF,es,NM,false,Modern,1,940,Muro de acero - DDF - es - NM - 1 (5).jpg,available,0.99,cardkingdom
371,Muro de acero,DDF,es,NM,false,Modern,1,940,Muro de acero - DDF - es - NM - 1 (6).jpg,available,0.99,cardkingdom
372,Muro de acero,DDF,es,NM,false,Modern,1,940,Muro de acero - DDF - es - NM - 1 (7).jpg,available,0.99,cardkingdom
159,Muro de acero,DDF,es,NM,false,Modern,1,940,Muro de acero - DDF - es - NM - 1.jpg,available,0.99,cardkingdom
373,Myr alfa,PS11,es,NM,false,Modern,1,,Myr alfa - PS11 - es - NM - 1 (2).jpg,available,,
374,Myr alfa,PS11,es,NM,false,Modern,1,,Myr alfa - PS11 - es - NM - 1 (3).jpg,available,,
375,Myr alfa,PS11,es,NM,false,Modern,1,,Myr alfa - PS11 - es - NM - 1 (4).jpg,available,,
376,Myr alfa,PS11,es,NM,false,Modern,1,,Myr alfa - PS11 - es - NM - 1 (5).jpg,available,,
377,Myr alfa,PS11,es,NM,false,Modern,1,,Myr alfa - PS11 - es - NM - 1 (6).jpg,available,,
378,Myr alfa,PS11,es,NM,false,Modern,1,,Myr alfa - PS11 - es - NM - 1 (7).jpg,available,,
166,Myr alfa,PS11,es,NM,false,Modern,1,,Myr alfa - PS11 - es - NM - 1.jpg,available,,
379,Myr de cobre,SOM,es,NM,false,Modern,1,500,Myr de cobre - SOM - es - NM - 1 (2).jpg,available,0.39,cardkingdom
380,Myr de cobre,SOM,es,NM,false,Modern,1,500,Myr de cobre - SOM - es - NM - 1 (3).jpg,available,0.39,cardkingdom
169,Myr de cobre,SOM,es,NM,false,Modern,1,500,Myr de cobre - SOM - es - NM - 1.jpg,available,0.39,cardkingdom
381,Myr de hierro,SOM,es,NM,false,Modern,1,9490,Myr de hierro - SOM - es - NM - 1 (2).jpg,available,9.99,cardkingdom
382,Myr de hierro,SOM,es,NM,false,Modern,1,9490,Myr de hierro - SOM - es - NM - 1 (3).jpg,available,9.99,cardkingdom
383,Myr de hierro,SOM,es,NM,false,Modern,1,9490,Myr de hierro - SOM - es - NM - 1 (4).jpg,available,9.99,cardkingdom
384,Myr de hierro,SOM,es,NM,false,Modern,1,9490,Myr de hierro - SOM - es - NM - 1 (5).jpg,available,9.99,cardkingdom
174,Myr de hierro,SOM,es,NM,false,Modern,1,9490,Myr de hierro - SOM - es - NM - 1.jpg,available,9.99,cardkingdom
385,Myr de oro,NEC,es,NM,false,Modern,1,1558,Myr de oro - NEC - es - NM - 1 (2).jpg,available,1.64,tcgplayer
386,Myr de oro,NEC,es,NM,false,Modern,1,1558,Myr de oro - NEC - es - NM - 1 (3).jpg,available,1.64,tcgplayer
387,Myr de oro,NEC,es,NM,false,Modern,1,1558,Myr de oro - NEC - es - NM - 1 (4).jpg,available,1.64,tcgplayer
178,Myr de oro,NEC,es,NM,false,Modern,1,1558,Myr de oro - NEC - es - NM - 1.jpg,available,1.64,tcgplayer
388,Myr de plomo,SOM,es,NM,false,Modern,1,500,Myr de plomo - SOM - es - NM - 1 (2).jpg,available,0.35,cardkingdom
389,Myr de plomo,SOM,es,NM,false,Modern,1,500,Myr de plomo - SOM - es - NM - 1 (3).jpg,available,0.35,cardkingdom
390,Myr de plomo,SOM,es,NM,false,Modern,1,500,Myr de plomo - SOM - es - NM - 1 (4).jpg,available,0.35,cardkingdom
391,Myr de plomo,SOM,es,NM,false,Modern,1,500,Myr de plomo - SOM - es - NM - 1 (5).jpg,available,0.35,cardkingdom
392,Myr de plomo,SOM,es,NM,false,Modern,1,500,Myr de plomo - SOM - es - NM - 1 (6).jpg,available,0.35,cardkingdom
393,Myr de plomo,SOM,es,NM,false,Modern,1,500,Myr de plomo - SOM - es - NM - 1 (7).jpg,available,0.35,cardkingdom
185,Myr de plomo,SOM,es,NM,false,Modern,1,500,Myr de plomo - SOM - es - NM - 1.jpg,available,0.35,cardkingdom
394,Myr omega,MRD,es,NM,false,Modern,1,500,Myr omega - MRD - es - NM - 1 (2).jpg,available,0.35,cardkingdom
187,Myr omega,MRD,es,NM,false,Modern,1,500,Myr omega - MRD - es - NM - 1.jpg,available,0.35,cardkingdom
188,Myr omega,MRD,es,NM,true,Modern,1,500,Myr omega - MRD - es - NM_FOIL - 1.jpg,available,0.49,cardkingdom
189,Necrogen Spellbomb,MRD,en,NM,false,Modern,1,500,Necrogen Spellbomb - MRD - en - NM - 1.jpg,available,0.35,cardkingdom
395,Neurok Hoversail,MRD,en,NM,false,Modern,1,500,Neurok Hoversail - MRD - en - NM - 1 (2).jpg,available,0.35,cardkingdom
191,Neurok Hoversail,MRD,en,NM,false,Modern,1,500,Neurok Hoversail - MRD - en - NM - 1.jpg,available,0.35,cardkingdom
396,Nihil Spellbomb,A25,en,NM,false,Modern,1,2650,Nihil Spellbomb - A25 - en - NM - 1 (2).jpg,available,2.79,cardkingdom
193,Nihil Spellbomb,A25,en,NM,false,Modern,1,2650,Nihil Spellbomb - A25 - en - NM - 1.jpg,available,2.79,cardkingdom
194,Omega Myr,MRD,en,NM,false,Modern,1,500,Omega Myr - MRD - en - NM - 1.jpg,available,0.35,cardkingdom
397,Ornitóptero,DMR,es,NM,false,Modern,1,560,Ornitóptero - DMR - es - NM - 1 (2).jpg,available,0.59,cardkingdom
398,Ornitóptero,DMR,es,NM,false,Modern,1,560,Ornitóptero - DMR - es - NM - 1 (3).jpg,available,0.59,cardkingdom
399,Ornitóptero,DMR,es,NM,false,Modern,1,560,Ornitóptero - DMR - es - NM - 1 (4).jpg,available,0.59,cardkingdom
400,Ornitóptero,DMR,es,NM,false,Modern,1,560,Ornitóptero - DMR - es - NM - 1 (5).jpg,available,0.59,cardkingdom
401,Ornitóptero,DMR,es,NM,false,Modern,1,560,Ornitóptero - DMR - es - NM - 1 (6).jpg,available,0.59,cardkingdom
200,Ornitóptero,DMR,es,NM,false,Modern,1,560,Ornitóptero - DMR - es - NM - 1.jpg,available,0.59,cardkingdom
402,Parásito desguazador,KLD,es,NM,true,Modern,1,750,Parásito desguazador - KLD - es - NM_FOIL - 1 (2).jpg,available,0.79,cardkingdom
403,Parásito desguazador,KLD,es,NM,true,Modern,1,750,Parásito desguazador - KLD - es - NM_FOIL - 1 (3).jpg,available,0.79,cardkingdom
203,Parásito desguazador,KLD,es,NM,true,Modern,1,750,Parásito desguazador - KLD - es - NM_FOIL - 1.jpg,available,0.79,cardkingdom
204,Pearl Medallion,MH3,en,NM,true,Modern,1,9490,Pearl Medallion - MH3 - en - NM_FOIL - 1.jpg,available,9.99,cardkingdom
404,Pithing Needle,2X2,en,NM,false,Modern,1,,Pithing Needle - 2X2 - en - NM - 1 (2).jpg,available,,
405,Pithing Needle,2X2,en,NM,false,Modern,1,,Pithing Needle - 2X2 - en - NM - 1 (3).jpg,available,,
207,Pithing Needle,2X2,en,NM,false,Modern,1,,Pithing Needle - 2X2 - en - NM - 1.jpg,available,,
406,Pluma de Tel-Jilad,MRD,es,NM,false,Modern,1,500,Pluma de Tel-Jilad - MRD - es - NM - 1 (2).jpg,available,0.49,cardkingdom
209,Pluma de Tel-Jilad,MRD,es,NM,false,Modern,1,500,Pluma de Tel-Jilad - MRD - es - NM - 1.jpg,available,0.49,cardkingdom
210,Pluma de Tel-Jilad,MRD,es,NM,true,Modern,1,4266,Pluma de Tel-Jilad - MRD - es - NM_FOIL - 1.jpg,available,4.49,cardkingdom
211,Pulgar de Krark,MRD,es,NM,false,Modern,1,18990,Pulgar de Krark - MRD - es - NM - 1.jpg,available,19.99,cardkingdom
